_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6851b59f0af9eada72c5642b,,69.2,96.74,71.2,73.13,173;1;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185375000
6851b57c0af9eada72c562d6,,68,96.09,70.4,75.72,170;3;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185340000
6851b55a0af9eada72c561ac,,56.78,91.93,60.38,62.91,142;0;4;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750185306000
6851b5380af9eada72c5604e,,58.4,89.77,65.6,65.99,146;4;1;1,time,30,-1,1,30,0,1.68,false,false,english,,normal,false,false,false,,1750185272000
6851b5110af9eada72c55ebe,,73.18,96.32,73.18,75.43,183;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750185233000
6851b4ef0af9eada72c55d76,,72.4,96.3,72.4,69.29,181;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185199000
6851b4ce0af9eada72c55c3f,,64.37,92.59,71.56,73.08,161;4;1;1,time,30,-1,1,30.02,0,0.43,false,false,english,,normal,false,false,false,,1750185166000
6851b4a90af9eada72c55aa1,,71.99,92.82,81.59,79.88,180;5;2;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750185129000
6851b47d0af9eada72c558e3,true,78.39,98.99,78.39,78.36,196;0;0;0,time,30,-1,1,30,0,3.42,false,false,english,,normal,false,false,false,,1750185085000
6851b4550af9eada72c55758,,63.99,93.01,68.79,65.82,160;1;1;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750185045000
6851b4340af9eada72c55613,,72.79,95.92,76.79,74.17,182;3;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750185012000
6851b4130af9eada72c554a2,,70.76,94.87,75.96,77.97,177;1;2;0,time,30,-1,0,30.02,0,0,false,false,english,,normal,false,false,false,,1750184979000
6851b3f10af9eada72c55325,,68.79,94.18,72.79,70.98,172;3;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750184945000
6851b3cf0af9eada72c551a8,,58.39,90.3,62.79,73.55,146;5;2;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750184911000
